Airport.Code,Airport.Name,Airline.Name,Claim.Type,Claim.Site,Item,Claim.Amount,Status,Close.Amount
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,37.99,Denied,0
ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,Computer - Laptop,2800,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,80.9,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,63.5,Denied,0
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,1394,Settled,310
ABQ,Albuquerque International Sunport Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",45,Approved,45
ABQ,Albuquerque International Sunport Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,436.63,Settled,197.22
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,1393.97,Approved,1393.97
ABQ,Albuquerque International Sunport Airport,UAL,Property Damage,Checked Baggage,Other,23,Denied,0
ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,Musical Instruments - Other - Over $250,116.76,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cell Phones,30.3,Approved,30.3
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),448,Approved,448
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),100,Denied,0
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Musical Instruments - Other - Over $250,800,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,522,Denied,0
